# Daily Equity Curve
#
# Output File: d:\Benutzerdaten\OneDrive\Dokumente\GitHub\PythonProjects\Coincall\Output Ergebnisse\Matrix_Test_913944\Individual_Tests\004_ET0305_SL70_DailyEquityCurve.csv
# Starting Capital: "$10,000.00" USD
# Date Range: 2025-01-01 to 2025-08-14
# Total Days: 134
# Total Trades: 133
# Total PnL (realized): "$4,509.04"
# Final Capital (realized): "$14,509.04"
# Total PnL (incl. unrealized): "$4,509.04"
# Final Capital (incl. unrealized): "$14,509.04"
# Max Drawdown: -3.12%
#
date,exit_timestamp_readable,capital_curve_usd,realized_pnl_usd,unrealized_pnl_usd
2025-04-25,2025-04-25 23:59,12455.51,88.78,0.00
2025-04-26,2025-04-26 23:59,12404.85,-50.65,0.00
2025-04-27,2025-04-27 23:59,12344.76,-60.09,0.00
2025-04-28,2025-04-28 23:59,12424.86,80.10,0.00
2025-04-29,2025-04-29 23:59,12524.93,100.07,0.00
2025-04-30,2025-04-30 23:59,12437.74,-87.19,0.00
2025-05-01,2025-05-01 23:59,12518.40,0.00,80.66
2025-05-02,2025-05-02 23:59,12606.66,168.92,0.00
2025-05-03,2025-05-03 23:59,12636.67,0.00,30.02
2025-05-04,2025-05-04 23:59,12654.80,57.95,-9.80
2025-05-05,2025-05-05 23:59,12743.60,78.99,0.00
2025-05-06,2025-05-06 23:59,12843.41,99.82,0.00
2025-05-07,2025-05-07 23:59,12955.43,112.02,0.00
2025-05-08,2025-05-08 23:59,13069.61,114.17,0.00
2025-05-09,2025-05-09 23:59,13167.98,98.37,0.00
2025-05-10,2025-05-10 23:59,13222.78,0.00,54.80
2025-05-11,2025-05-11 23:59,13306.21,61.88,76.35
2025-05-12,2025-05-12 23:59,13211.14,-18.72,0.00
2025-05-13,2025-05-13 23:59,13320.25,0.00,109.10
2025-05-14,2025-05-14 23:59,13423.12,211.97,0.00
2025-05-15,2025-05-15 23:59,13308.03,-115.08,0.00
2025-05-16,2025-05-16 23:59,13372.85,0.00,64.81
2025-05-17,2025-05-17 23:59,13445.55,72.92,64.60
2025-05-18,2025-05-18 23:59,13498.66,62.01,55.70
2025-05-19,2025-05-19 23:59,13368.34,-74.62,0.00
2025-05-20,2025-05-20 23:59,13220.93,-147.41,0.00
2025-05-21,2025-05-21 23:59,13365.85,144.92,0.00
2025-05-22,2025-05-22 23:59,13471.97,106.12,0.00
2025-05-23,2025-05-23 23:59,13327.49,-144.48,0.00
2025-05-24,2025-05-24 23:59,13441.75,114.26,0.00
2025-05-25,2025-05-25 23:59,13332.03,-109.72,0.00
2025-05-26,2025-05-26 23:59,13423.76,0.00,91.73
2025-05-27,2025-05-27 23:59,13567.36,235.33,0.00
2025-05-28,2025-05-28 23:59,13478.31,-89.05,0.00
2025-05-29,2025-05-29 23:59,13347.09,-131.22,0.00
2025-05-30,2025-05-30 23:59,13239.28,-107.81,0.00
2025-06-02,2025-06-02 23:59,13350.64,111.35,0.00
