# BTC Strategie - Chronological Trades
# Generated: 2026-03-13 09:18:40
# Output File: d:\Benutzerdaten\OneDrive\Dokumente\GitHub\PythonProjects\Coincall\Output Ergebnisse\Matrix_Test_913944\Individual_Tests\004_ET0305_SL70_ChronologicalTrades.csv
# Date Range Filter: 2025-01-01 to 2025-08-14
# Total Trades: 133
# P&L Type: realized only (position_pnl = P&L per closed position)
# Straddle: TP/SL gilt fuer gesamten Kombinationswert (Put+Call), nicht pro Einzelleg. Straddle wird gemeinsam eroeffnet und geschlossen.
# Total PnL (realized): "$4,509.04"
# Final Capital (realized): "$14,509.04"
# Final Capital (incl. unrealized): "$14,509.04"
# Max Drawdown: -3.12%
# Total Transactions: 267
# Unique Positions: 134
# P&L Type: realized only (position_pnl = P&L per closed position)
#
timestamp,time,position_id,combo_id,leg_label,action,exit_reason,quantity,underlying_price,reference_price_used_helper,trigger_helper_price,reference_iv,trigger_helper_iv,entry_price,close_price,leg_number,Type,Expiration,Delta,Entry Delta,days_in_trade,position_pnl,leg_fee_usd,Net_Trade_Cost_USD,Net_Trade_Cost_USD_Currency,strike,entry_price_usd,exit_price_usd,leg1_option_type,leg2_option_type
2025-01-26,08:00:00,OPTION_2025-01-25_001,Kombo OPTION_2025-01-25_001,Leg 1,CLOSE,expiry,1,105004.0,,,,,,0.0,1,P,2025-01-26,-0.08549,-0.08549,1,73.2333,0.0,-0.0,USD,102000.0,,0.0,,
2025-01-26,23:09:00,OPTION_2025-01-26_002,Kombo OPTION_2025-01-26_002,Leg 1,CLOSE,stop_loss,1,103408.0,,,,,,0.0012,1,P,2025-01-27,-0.07154,-0.07154,0,-75.69512,14.47712,-138.56671999999998,USD,102000.0,,0.0012,,
2025-01-27,03:05:00,OPTION_2025-01-27_001,Kombo OPTION_2025-01-27_001,Leg 1 (P),OPEN,,-1,101199.0,,,,,0.0015,,1,P,2025-01-28,-0.08391,,,,0.0,151.7985,USD,96000.0,0.0015,,,
2025-01-27,05:39:00,OPTION_2025-01-27_001,Kombo OPTION_2025-01-27_001,Leg 1,CLOSE,stop_loss,1,100091.0,,,,,,0.0027,1,P,2025-01-28,-0.08391,-0.08391,0,-132.45994000000002,14.012739999999999,-284.25844,USD,96000.0,,0.0027,,
2025-01-28,03:05:00,OPTION_2025-01-28_001,Kombo OPTION_2025-01-28_001,Leg 1 (P),OPEN,,-1,102220.0,,,,,0.0018,,1,P,2025-01-29,-0.10906,,,,0.0,183.99599999999998,USD,98000.0,0.0018,,,
2025-01-28,18:12:00,OPTION_2025-01-28_001,Kombo OPTION_2025-01-28_001,Leg 1,CLOSE,take_profit,1,103017.0,,,,,,0.0001,1,P,2025-01-29,-0.10906,-0.10906,0,159.27191999999997,14.422379999999999,-24.724079999999997,USD,98000.0,,0.0001,,
2025-01-29,03:05:00,OPTION_2025-01-29_001,Kombo OPTION_2025-01-29_001,Leg 1 (P),OPEN,,-1,101949.0,,,,,0.0019,,1,P,2025-01-30,-0.0986,,,,0.0,193.7031,USD,97000.0,0.0019,,,
2025-01-29,19:40:00,OPTION_2025-01-29_001,Kombo OPTION_2025-01-29_001,Leg 1,CLOSE,take_profit,1,103922.0,,,,,,0.0001,1,P,2025-01-30,-0.0986,-0.0986,0,168.76182,14.549079999999998,-24.94128,USD,97000.0,,0.0001,,
2025-01-30,03:05:00,OPTION_2025-01-30_001,Kombo OPTION_2025-01-30_001,Leg 1 (P),OPEN,,-1,104775.0,,,,,0.0018,,1,P,2025-01-31,-0.11652,,,,0.0,188.595,USD,101000.0,0.0018,,,
2025-01-31,00:26:00,OPTION_2025-01-30_001,Kombo OPTION_2025-01-30_001,Leg 1,CLOSE,take_profit,1,104817.0,,,,,,0.0001,1,P,2025-01-31,-0.11652,-0.11652,0,163.43892,14.67438,-25.15608,USD,101000.0,,0.0001,,
